Filename,Folder Path,File name,Direct Link,Size,Created At,Filetype,File Extension
subject23,Shared with me > UBFC_DATASET > DATASET_2 > subject23,ground_truth.txt,https://drive.google.com/uc?id=164y_rXTYVydCZlJbPdvQFbxN6ok3Og8c&export=download,91.79 KB,"April 13, 2020, 8:54:21 AM",text/plain,txt
subject23,Shared with me > UBFC_DATASET > DATASET_2 > subject23,vid.avi,https://drive.google.com/uc?id=1vsnWdEf-sZnwvDrNdr8_9XDyEE987eiy&export=download,1.68 GB,"April 13, 2020, 9:00:03 AM",video/x-msvideo,avi
subject24,Shared with me > UBFC_DATASET > DATASET_2 > subject24,ground_truth.txt,https://drive.google.com/uc?id=1TBO4y1oYkGLCuBz2ILT2rg-YI7SlvGjo&export=download,94.18 KB,"April 13, 2020, 9:00:13 AM",text/plain,txt
subject24,Shared with me > UBFC_DATASET > DATASET_2 > subject24,vid.avi,https://drive.google.com/uc?id=1h2ymVGFgFicXs0lOI1YNSw_e5_hQefpj&export=download,1.72 GB,"April 13, 2020, 9:05:52 AM",video/x-msvideo,avi
subject25,Shared with me > UBFC_DATASET > DATASET_2 > subject25,ground_truth.txt,https://drive.google.com/uc?id=1i6Rc7P7BVioI8asH5AE0JOhf6AlTkbcJ&export=download,67.88 KB,"April 13, 2020, 9:00:13 AM",text/plain,txt
subject25,Shared with me > UBFC_DATASET > DATASET_2 > subject25,vid.avi,https://drive.google.com/uc?id=1G4yjGWpcHsT_iBSPyT3jZVcqQ__r_UWt&export=download,1.24 GB,"April 13, 2020, 9:04:26 AM",video/x-msvideo,avi
subject26,Shared with me > UBFC_DATASET > DATASET_2 > subject26,ground_truth.txt,https://drive.google.com/uc?id=1uOQE-qfGZ9TZgoY35TaDOpu-cVAlyeSa&export=download,69.62 KB,"April 13, 2020, 9:00:15 AM",text/plain,txt
subject26,Shared with me > UBFC_DATASET > DATASET_2 > subject26,vid.avi,https://drive.google.com/uc?id=1MxwIg4HGihjHQJVVsytNBFERdiB7Mz23&export=download,1.27 GB,"April 13, 2020, 9:04:37 AM",video/x-msvideo,avi
subject27,Shared with me > UBFC_DATASET > DATASET_2 > subject27,ground_truth.txt,https://drive.google.com/uc?id=1vE4ftwze8Re8uyaXLiSbBSDJgwPwZu_Y&export=download,67.08 KB,"April 13, 2020, 9:04:27 AM",text/plain,txt
subject27,Shared with me > UBFC_DATASET > DATASET_2 > subject27,vid.avi,https://drive.google.com/uc?id=1y6OMXIIm6x15Jx1VpM9fR3ein0VAGx1p&export=download,1.23 GB,"April 13, 2020, 9:08:06 AM",video/x-msvideo,avi
subject30,Shared with me > UBFC_DATASET > DATASET_2 > subject30,ground_truth.txt,https://drive.google.com/uc?id=1OPw4OIK09uVfXSSAiqRuj46qtrE4e5iP&export=download,95.07 KB,"April 13, 2020, 9:09:10 AM",text/plain,txt
subject30,Shared with me > UBFC_DATASET > DATASET_2 > subject30,vid.avi,https://drive.google.com/uc?id=1yoE0-eALxnnXFuuxnbKnghXRaAb5zssq&export=download,1.74 GB,"April 13, 2020, 9:14:56 AM",video/x-msvideo,avi
subject31,Shared with me > UBFC_DATASET > DATASET_2 > subject31,ground_truth.txt,https://drive.google.com/uc?id=1epY7VEw8KvNoq9P8zNNAOmcM9siH7PuA&export=download,95.02 KB,"April 13, 2020, 9:09:11 AM",text/plain,txt
subject31,Shared with me > UBFC_DATASET > DATASET_2 > subject31,vid.avi,https://drive.google.com/uc?id=1b3Ai6-FES_oTZgojJpHzAGCddiRlxVJi&export=download,1.74 GB,"April 13, 2020, 9:15:06 AM",video/x-msvideo,avi
subject32,Shared with me > UBFC_DATASET > DATASET_2 > subject32,ground_truth.txt,https://drive.google.com/uc?id=1SjW9JEy6gVY-nsm-99i9XrUuTa8zsQpd&export=download,95.3 KB,"April 13, 2020, 9:09:13 AM",text/plain,txt
subject32,Shared with me > UBFC_DATASET > DATASET_2 > subject32,vid.avi,https://drive.google.com/uc?id=1S-uxlrggGnshUorJWdLxXWk4gZwXE3ly&export=download,1.75 GB,"April 13, 2020, 9:15:12 AM",video/x-msvideo,avi
subject33,Shared with me > UBFC_DATASET > DATASET_2 > subject33,ground_truth.txt,https://drive.google.com/uc?id=1jn1nPhtjWKmH_IiooCxLO1YDKTHNDzGG&export=download,93.71 KB,"April 13, 2020, 9:15:17 AM",text/plain,txt
subject33,Shared with me > UBFC_DATASET > DATASET_2 > subject33,vid.avi,https://drive.google.com/uc?id=1CVxEbl9M3GX507byx53dfFRkJIfojMDB&export=download,1.72 GB,"April 13, 2020, 9:21:03 AM",video/x-msvideo,avi
subject34,Shared with me > UBFC_DATASET > DATASET_2 > subject34,ground_truth.txt,https://drive.google.com/uc?id=1P2qXua1DDMhiIB_u9sFqjua2bbd_H9_R&export=download,95.4 KB,"April 13, 2020, 9:15:17 AM",text/plain,txt
subject34,Shared with me > UBFC_DATASET > DATASET_2 > subject34,vid.avi,https://drive.google.com/uc?id=1NatobtJySI95Oc1yIdUjnh-1op5T5QOf&export=download,1.75 GB,"April 13, 2020, 9:21:09 AM",video/x-msvideo,avi
subject35,Shared with me > UBFC_DATASET > DATASET_2 > subject35,ground_truth.txt,https://drive.google.com/uc?id=1kC6TPv4lEyBbwvoguTGBaI_5_zs2E5I8&export=download,96.15 KB,"April 13, 2020, 9:15:19 AM",text/plain,txt
subject35,Shared with me > UBFC_DATASET > DATASET_2 > subject35,vid.avi,https://drive.google.com/uc?id=1IWWdPNsR93cTBX5oLQofxPHdNLC3R0pM&export=download,1.76 GB,"April 13, 2020, 9:21:14 AM",video/x-msvideo,avi
subject36,Shared with me > UBFC_DATASET > DATASET_2 > subject36,ground_truth.txt,https://drive.google.com/uc?id=19_bnyXwhgdLlNgOl087OfCB9yGENDtnW&export=download,96.19 KB,"April 13, 2020, 9:21:17 AM",text/plain,txt
subject36,Shared with me > UBFC_DATASET > DATASET_2 > subject36,vid.avi,https://drive.google.com/uc?id=17GvOgn3N5dreDHLhyCT6Erj5pkdpG4u0&export=download,1.76 GB,"April 13, 2020, 9:27:08 AM",video/x-msvideo,avi
subject37,Shared with me > UBFC_DATASET > DATASET_2 > subject37,ground_truth.txt,https://drive.google.com/uc?id=1iyLiEMkuGN5XU2g12D4UbejQ1AAESZDF&export=download,95.26 KB,"April 13, 2020, 9:21:17 AM",text/plain,txt
subject37,Shared with me > UBFC_DATASET > DATASET_2 > subject37,vid.avi,https://drive.google.com/uc?id=1v6ACJwG3jfPgEvXzjLEYfmDWsxQRqpCg&export=download,1.74 GB,"April 13, 2020, 9:27:06 AM",video/x-msvideo,avi
subject38,Shared with me > UBFC_DATASET > DATASET_2 > subject38,ground_truth.txt,https://drive.google.com/uc?id=1QTkhZNDGAVbIM_OtZMV9L3aLONPJUTBs&export=download,96.1 KB,"May 25, 2020, 5:02:17 AM",text/plain,txt
subject38,Shared with me > UBFC_DATASET > DATASET_2 > subject38,vid.avi,https://drive.google.com/uc?id=1DiLRu-t6BnqyL6duIOotzUV1cxds-RyZ&export=download,1.76 GB,"May 25, 2020, 5:08:07 AM",video/x-msvideo,avi
subject39,Shared with me > UBFC_DATASET > DATASET_2 > subject39,ground_truth.txt,https://drive.google.com/uc?id=1kUSk9_rysepgW6uSRBDteo8ccecmRqzL&export=download,95.49 KB,"May 25, 2020, 5:02:19 AM",text/plain,txt
subject39,Shared with me > UBFC_DATASET > DATASET_2 > subject39,vid.avi,https://drive.google.com/uc?id=1vVnSFitF7rNjeqDXzClBQNv6KIN-eVSo&export=download,1.75 GB,"May 25, 2020, 5:08:06 AM",video/x-msvideo,avi
subject40,Shared with me > UBFC_DATASET > DATASET_2 > subject40,ground_truth.txt,https://drive.google.com/uc?id=1-Pha-r5L6F0A0ctQ4nNQK1Y542PAGHjS&export=download,95.07 KB,"May 25, 2020, 5:20:09 AM",text/plain,txt
subject40,Shared with me > UBFC_DATASET > DATASET_2 > subject40,vid.avi,https://drive.google.com/uc?id=1XRC0fArFw-TBu55js1Y7joqzyN19z-GB&export=download,1.74 GB,"May 25, 2020, 5:25:52 AM",video/x-msvideo,avi
subject41,Shared with me > UBFC_DATASET > DATASET_2 > subject41,ground_truth.txt,https://drive.google.com/uc?id=1F-VRjCG2Jo_KbHWQ9EbVJ8DiGBXPzMjZ&export=download,95.49 KB,"May 25, 2020, 5:20:09 AM",text/plain,txt
subject41,Shared with me > UBFC_DATASET > DATASET_2 > subject41,vid.avi,https://drive.google.com/uc?id=1ks0izl9neicptAfPxtXHol0u_pHo3Gzt&export=download,1.75 GB,"May 25, 2020, 5:25:45 AM",video/x-msvideo,avi
subject42,Shared with me > UBFC_DATASET > DATASET_2 > subject42,ground_truth.txt,https://drive.google.com/uc?id=1l_c6A75NxpE_-M6RlRHitWh23vpJ-nMZ&export=download,95.72 KB,"May 25, 2020, 5:25:55 AM",text/plain,txt
subject42,Shared with me > UBFC_DATASET > DATASET_2 > subject42,vid.avi,https://drive.google.com/uc?id=1RhA1ab86-yOG3M2xVhJNAvDB1i4TF7JY&export=download,1.75 GB,"May 25, 2020, 5:31:35 AM",video/x-msvideo,avi
subject43,Shared with me > UBFC_DATASET > DATASET_2 > subject43,ground_truth.txt,https://drive.google.com/uc?id=1ewapaCS1UR5XUT0-XF9aFBLkTvA7Fr60&export=download,94.18 KB,"May 25, 2020, 5:20:12 AM",text/plain,txt
subject43,Shared with me > UBFC_DATASET > DATASET_2 > subject43,vid.avi,https://drive.google.com/uc?id=1Z-m2nM1AiqJTv1HvtjcQlKiwG5uPoq_M&export=download,1.72 GB,"May 25, 2020, 5:25:50 AM",video/x-msvideo,avi
subject44,Shared with me > UBFC_DATASET > DATASET_2 > subject44,ground_truth.txt,https://drive.google.com/uc?id=1jGgQ5-LEHhcDbRckGKUrSY5XebjOkgzw&export=download,94.55 KB,"May 25, 2020, 5:14:10 AM",text/plain,txt
subject44,Shared with me > UBFC_DATASET > DATASET_2 > subject44,vid.avi,https://drive.google.com/uc?id=1hPyWr0fw7CXNcb_VIxS4qd3-q-bOZ3ud&export=download,1.73 GB,"May 25, 2020, 5:20:01 AM",video/x-msvideo,avi
subject45,Shared with me > UBFC_DATASET > DATASET_2 > subject45,ground_truth.txt,https://drive.google.com/uc?id=1MpFJ1AUrIxYOGba5gbmS-B10MCjSdHPD&export=download,95.26 KB,"May 25, 2020, 5:08:12 AM",text/plain,txt
subject45,Shared with me > UBFC_DATASET > DATASET_2 > subject45,vid.avi,https://drive.google.com/uc?id=1cz5-i0HhcOjdghnvuenTjsCF3jVDVzZB&export=download,1.74 GB,"May 25, 2020, 5:14:07 AM",video/x-msvideo,avi
subject46,Shared with me > UBFC_DATASET > DATASET_2 > subject46,ground_truth.txt,https://drive.google.com/uc?id=1Hev__VgiceRHVUDie0gYzgrEtxBGvxjD&export=download,93.33 KB,"May 25, 2020, 5:14:14 AM",text/plain,txt
subject46,Shared with me > UBFC_DATASET > DATASET_2 > subject46,vid.avi,https://drive.google.com/uc?id=1MCqzzOjNpsgXfmjVWxAgkaBRXwnw0SaA&export=download,1.71 GB,"May 25, 2020, 5:20:03 AM",video/x-msvideo,avi
subject47,Shared with me > UBFC_DATASET > DATASET_2 > subject47,ground_truth.txt,https://drive.google.com/uc?id=1XAEUtG3ElFU2ZwTkLoECsDMYE0YFyFlT&export=download,94.83 KB,"May 25, 2020, 5:14:11 AM",text/plain,txt
subject47,Shared with me > UBFC_DATASET > DATASET_2 > subject47,vid.avi,https://drive.google.com/uc?id=1oZNjqz81rAGAxEXdAGWTXBkWf-wpwgm3&export=download,1.74 GB,"May 25, 2020, 5:20:05 AM",video/x-msvideo,avi
subject48,Shared with me > UBFC_DATASET > DATASET_2 > subject48,ground_truth.txt,https://drive.google.com/uc?id=1X8v8tcIG2dp-Ha5mMIJkUzuYE1gB0roH&export=download,91.69 KB,"May 25, 2020, 5:08:10 AM",text/plain,txt
subject48,Shared with me > UBFC_DATASET > DATASET_2 > subject48,vid.avi,https://drive.google.com/uc?id=1B954UQhfrYutp7cfdGMLMKd5zXRTuqID&export=download,1.68 GB,"May 25, 2020, 5:13:53 AM",video/x-msvideo,avi
subject49,Shared with me > UBFC_DATASET > DATASET_2 > subject49,ground_truth.txt,https://drive.google.com/uc?id=1RI5XXRu6qA1DQ2Z8PcwQJSQszLC1QahZ&export=download,95.35 KB,"May 25, 2020, 5:08:10 AM",text/plain,txt
subject49,Shared with me > UBFC_DATASET > DATASET_2 > subject49,vid.avi,https://drive.google.com/uc?id=1b19q2BOWHBBd1P4MTc2wLb5dOQ49_wai&export=download,1.75 GB,"May 25, 2020, 5:14:03 AM",video/x-msvideo,avi
